"","V1","V2","V3","lat","lon"
"1","Lidl","Purchasing Analyst","Arlington, VA",37.283482,-77.294978
"2","Salient CRGT","Data Warehouse Analyst/Tester","Fairfax, VA",38.83469,-77.27622
"3","AT&T","Data Analyst II","Oakton, VA",38.892796,-77.329906
"4","Logical Paradigm","Entry Level Business Analyst/ Quality Assurance Analyst","Herndon, VA",38.983887,-77.367457
"5","Logical Paradigm","Entry Level Business Analyst","Herndon, VA",38.983887,-77.367457
"6","Dewberry","Entry Level Geospatial Analyst","Fairfax, VA ",38.83469,-77.27622
"7","SAIC","Data Science Analyst – Entry Level Job","McLean, VA",38.935202,-77.18672
"8","Compliance Resource Center (CRC)","Data Entry Analyst","Alexandria, VA ",38.80484,-77.04692
"9","AMG Technology Solutions","Entry level Business Analyst","Richmond, VA",37.626617,-77.492834
"10","CACI International Inc","Geospatial Data Exploitation and Visualization Job","Charlottesville, VA",38.087663,-78.556765
"11","CALIBRE Systems, Inc.","Data Visualization Specialist","Alexandria, VA ",38.80484,-77.04692
"12","BAE Systems","Analytics Intern","McLean, VA",38.935202,-77.18672
"13","CGI","Entry Level Business Analyst - Campus Recruiting","Fairfax, VA",38.83469,-77.27622
"14","CGI","Data Scientist/ Analyst / Statistician","Fairfax, VA",38.83469,-77.27622
"15","AHC Inc. of Arlington, VA","Digital Data Specialist","Arlington, VA",37.283482,-77.294978
"16","Lidl","Purchasing Analyst","Arlington, VA",37.283482,-77.294978
"17","AHC Inc. of Arlington, VA","Digital Data Specialist","Arlington, VA",37.283482,-77.294978
"18","Outcomes Incorporated","Data Quality Analyst","Alexandria, VA",38.80484,-77.04692
"19","University of Virginia","Research Specialist Intermediate - EdPolicyWorks","Charlottesville, VA",38.087663,-78.556765
"20","University of Virginia","Research Specialist-Javits","Charlottesville, VA",38.087663,-78.556765
"21","Niha Technologies","Programmer Analyst","Centreville, VA",38.84479,-77.46701
"22","Voxiva","Data Analyst - Customer Insights","Arlington, VA",37.283482,-77.294978
"23","CACI International Inc","INTELLIGENCE ANALYST I Job","McLean, VA",38.935202,-77.18672
"24","Sky Solutions","Data Analyst","McLean, VA",38.935202,-77.18672
"25","Dept of Game and Inland Fisheries","Southwest VA Freshwater Mussel Recovery Coordinator","Virginia",NA,NA
"26","comScore","Data Analyst","Reston, VA",38.96146,-77.3418
"27","Dept of Transportation","Division Business and Data Analyst","Richmond, VA",37.626617,-77.492834
"28","CGI","Data Scientist/ Analyst / Statistician","Fairfax, VA",38.83469,-77.27622
"29","Salient CRGT","Data Warehouse Analyst/Tester","Fairfax, VA",38.83469,-77.27622
"30","PenFed Credit Union","Research Analyst I","Alexandria, VA",38.80484,-77.04692
