"","V1","V2","V3","lat","lon"
"1","BOEING","Systems Engineer Level 1 or 2","Fairfax, VA",38.83469,-77.27622
"2","Noblis","Project Engineer - Acquisition","Chantilly, VA",38.88668,-77.44566
"3","Dewberry","Mechanical Engineer","Fairfax, VA",38.83469,-77.27622
"4","Validation Associates LLC","Validation Engineer / Chemical /Biomedical /Biotech Eng / BA...","Herndon, VA",38.983887,-77.367457
"5","On-Board Services","Associate Process Engineer","Elkton, VA",38.4079,-78.62363
"6","CWPS","Junior NOC Engineer","Chantilly, VA ",38.88668,-77.44566
"7","Thermo Fisher Scientific","Manufacturing Engineer I","Middletown, VA",39.048863,-78.285171
"8","EGS Inc.","Manufacturing Engineer","Dulles, VA",39.002125,-77.442066
"9","CTR Group","Manufacturing Engineer","Newport News, VA",37.058296,-76.463471
"10","Prince William County Service Authority","Engineering/Inspections Assistant (Temporary)","Woodbridge, VA ",38.625541,-77.271644
"11","Department Of The Interior","General Engineer, GS-0801-11/12 (PR-DEU)","Reston, VA",38.96146,-77.3418
"12","Stantec","Entry Level Engineer","Richmond, VA",37.626617,-77.492834
"13","AECOM","Equipment Engineer","Chantilly, VA",38.88668,-77.44566
"14","U.S. Navy","Naval Reactors Engineer","United States",NA,NA
"15","Sumitomo Machinery Corporation of America / Hansen","Production Engineer II","Chesapeake, VA",36.749991,-76.218759
"16","Sumitomo Machinery Corporation of America / Hansen","Production Engineer II","Chesapeake, VA",36.749991,-76.218759
"17","Noblis","Project Engineer - Acquisition","Chantilly, VA",38.88668,-77.44566
"18","Coastal Gunite Construction Company","Assistant Project Engineer","Weyers Cave, VA ",38.28347,-78.91152
"19","EMF Industries","Systems Engineer 2016_04_14","Chantilly, VA",38.88668,-77.44566
"20","Department of Defense","General Engineer","Chantilly, VA",38.88668,-77.44566
"21","Corning","Process Engineer","Manassas, VA",38.744685,-77.487162
"22","EMF Industries","Systems Engineer 2016_04_16","McLean, VA",38.935202,-77.18672
"23","EMF Industries","Systems Engineer 2016_04_15","McLean, VA",38.935202,-77.18672
"24","Lockheed Martin","Test Engineer","Manassas, VA",38.744685,-77.487162
"25","Penn State University","Research and Development Engineer","Reston, VA",38.96146,-77.3418
"26","DMY Engineering Consultants","Senior Geotechnical Engineer","Dulles, VA",39.002125,-77.442066
"27","EGS Inc.","Manufacturing Engineer","Dulles, VA",39.002125,-77.442066
"28","Dewberry","Mechanical Engineer","Fairfax, VA",38.83469,-77.27622
"29","U.S. Navy","Naval Reactors Engineer","United States",NA,NA
"30","BOEING","Systems Engineer Level 1 or 2","Fairfax, VA",38.83469,-77.27622
"31","Noblis","Project Engineer - Acquisition","Chantilly, VA",38.88668,-77.44566
"32","Dewberry","Mechanical Engineer","Fairfax, VA",38.83469,-77.27622
"33","Mondelēz International","Engineer -Continuous Improvement","Richmond, VA",37.626617,-77.492834
